Sentence,WUGgedSentence,Score,LenFacScore,CleanedParse,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
Name discovers who all people visited Name .,Name discovers who all people visited Name .,-49.081122882921804,-6.1351403603652255,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (WHNP _who) (S (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name))))) (. _.)),bad,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample1_PCFG.0.FG-output.rank-1,-6.022623963249052,-6.1351403603652255,TRUE
Name discovers that all people visited Name .,Name discovers that all people visited Name .,-48.18099170599241,-6.022623963249052,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (COMP _that) (S (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name))))) (. _.)),good,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample1_PCFG.0.FG-output.rank-1,-6.022623963249052,-6.1351403603652255,TRUE
Name discovers who all people visited Name .,Name discovers who all people visited Name .,-51.18950906645472,-6.39868863330684,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (WHNP _who) (S (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)) (. _.))))),bad,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample10_PCFG.0.FG-output.rank-1,-6.160167930971559,-6.39868863330684,TRUE
Name discovers that all people visited Name .,Name discovers that all people visited Name .,-49.28134344777247,-6.160167930971559,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (COMP _that) (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)))) (. _.)),good,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample10_PCFG.0.FG-output.rank-1,-6.160167930971559,-6.39868863330684,TRUE
Name discovers who all people visited Name .,Name discovers who all people visited Name .,-49.11209446440634,-6.1390118080507925,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (WHNP _who) (S (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)) (. _.))))),bad,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample2_PCFG.0.FG-output.rank-1,-5.88028783392122,-6.1390118080507925,TRUE
Name discovers that all people visited Name .,Name discovers that all people visited Name .,-47.04230267136976,-5.88028783392122,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (COMP _that) (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)))) (. _.)),good,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample2_PCFG.0.FG-output.rank-1,-5.88028783392122,-6.1390118080507925,TRUE
Name discovers who all people visited Name .,Name discovers who all people visited Name .,-48.7020302191275,-6.087753777390938,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (WHNP _who) (S (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name))))) (. _.)),bad,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample3_PCFG.0.FG-output.rank-1,-5.9756354668386304,-6.087753777390938,TRUE
Name discovers that all people visited Name .,Name discovers that all people visited Name .,-47.805083734709044,-5.9756354668386304,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (COMP _that) (S (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name))))) (. _.)),good,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample3_PCFG.0.FG-output.rank-1,-5.9756354668386304,-6.087753777390938,TRUE
Name discovers who all people visited Name .,Name discovers who all people visited Name .,-49.26809156249286,-6.158511445311608,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (WHNP _who) (S (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)) (. _.))))),bad,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample4_PCFG.0.FG-output.rank-1,-5.960950157931725,-6.158511445311608,TRUE
Name discovers that all people visited Name .,Name discovers that all people visited Name .,-47.6876012634538,-5.960950157931725,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (COMP _that) (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)))) (. _.)),good,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample4_PCFG.0.FG-output.rank-1,-5.960950157931725,-6.158511445311608,TRUE
Name discovers who all people visited Name .,Name discovers who all people visited Name .,-50.53149637283861,-6.316437046604826,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (WHNP _who) (S (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)) (. _.))))),bad,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample5_PCFG.0.FG-output.rank-1,-6.086084265935194,-6.316437046604826,TRUE
Name discovers that all people visited Name .,Name discovers that all people visited Name .,-48.688674127481555,-6.086084265935194,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (COMP _that) (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)))) (. _.)),good,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample5_PCFG.0.FG-output.rank-1,-6.086084265935194,-6.316437046604826,TRUE
Name discovers who all people visited Name .,Name discovers who all people visited Name .,-49.85926643454226,-6.232408304317783,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (WHNP _who) (S (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)) (. _.))))),bad,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample6_PCFG.0.FG-output.rank-1,-6.0092748735634816,-6.232408304317783,TRUE
Name discovers that all people visited Name .,Name discovers that all people visited Name .,-48.07419898850785,-6.0092748735634816,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (COMP _that) (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)))) (. _.)),good,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample6_PCFG.0.FG-output.rank-1,-6.0092748735634816,-6.232408304317783,TRUE
Name discovers who all people visited Name .,Name discovers who all people visited Name .,-49.873713859166145,-6.234214232395768,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (WHNP _who) (S (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)) (. _.))))),bad,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample7_PCFG.0.FG-output.rank-1,-6.013273250745261,-6.234214232395768,TRUE
Name discovers that all people visited Name .,Name discovers that all people visited Name .,-48.10618600596209,-6.013273250745261,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (COMP _that) (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)))) (. _.)),good,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample7_PCFG.0.FG-output.rank-1,-6.013273250745261,-6.234214232395768,TRUE
Name discovers who all people visited Name .,Name discovers who all people visited Name .,-50.292996730630286,-6.286624591328786,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (WHNP _who) (S (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)) (. _.))))),bad,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample8_PCFG.0.FG-output.rank-1,-6.090376213428252,-6.286624591328786,TRUE
Name discovers that all people visited Name .,Name discovers that all people visited Name .,-48.723009707426016,-6.090376213428252,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (COMP _that) (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name)))) (. _.)),good,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample8_PCFG.0.FG-output.rank-1,-6.090376213428252,-6.286624591328786,TRUE
Name discovers who all people visited Name .,Name discovers who all people visited Name .,-49.79739413751379,-6.224674267189224,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (WHNP _who) (S (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name))))) (. _.)),bad,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample9_PCFG.0.FG-output.rank-1,-6.088737849100145,-6.224674267189224,TRUE
Name discovers that all people visited Name .,Name discovers that all people visited Name .,-48.70990279280116,-6.088737849100145,(ROOT (NP _Name) (VP (VBZ _discovers) (SBAR (COMP _that) (S (NP (DT _all) (NNS _people)) (VP (VBD _visited) (NP _Name))))) (. _.)),good,wh_vs_that_no_gap,247,syntax,filler_gap_dependency,sample9_PCFG.0.FG-output.rank-1,-6.088737849100145,-6.224674267189224,TRUE
Name would forget that these children kiss Name .,Name would forget that these children kiss Name .,-53.156467270509324,-5.906274141167703,(ROOT (NP _Name) (VP (MD _would) (VP (VB _forget) (SBAR (COMP _that) (S (NP (DT _these) (NNS _children)) (VP (VBP _kiss) (NP _Name)))))) (. _.)),good,wh_vs_that_no_gap,400,syntax,filler_gap_dependency,sample1_PCFG.0.FG-output.rank-1,-5.906274141167703,-6.025945417610121,TRUE
Name would forget who these children kiss Name .,Name would forget who these children kiss Name .,-54.233508758491084,-6.025945417610121,(ROOT (NP _Name) (VP (MD _would) (VP (VB _forget) (SBAR (WHNP _who) (S (NP (DT _these) (NNS _children)) (VP (VBP _kiss) (NP _Name)))))) (. _.)),bad,wh_vs_that_no_gap,400,syntax,filler_gap_dependency,sample1_PCFG.0.FG-output.rank-1,-5.906274141167703,-6.025945417610121,TRUE
Name would forget that these children kiss Name .,Name would forget that these children kiss Name .,-52.3796898792889,-5.819965542143211,(ROOT (NP _Name) (VP (MD _would) (VP (VB _forget) (SBAR (COMP _that) (NP (DT _these) (NNS _children)) (VP (VB _kiss) (NP _Name))))) (. _.)),good,wh_vs_that_no_gap,400,syntax,filler_gap_dependency,sample10_PCFG.0.FG-output.rank-1,-5.819965542143211,-6.043595862018833,TRUE
Name would forget who these children kiss Name .,Name would forget who these children kiss Name .,-54.3923627581695,-6.043595862018833,(ROOT (NP _Name) (VP (MD _would) (VP (VB _forget) (SBAR (WHNP _who) (S (NP (DT _these) (NNS _children)) (VP (VB _kiss) (NP _Name)) (. _.)))))),bad,wh_vs_that_no_gap,400,syntax,filler_gap_dependency,sample10_PCFG.0.FG-output.rank-1,-5.819965542143211,-6.043595862018833,TRUE
Name would forget that these children kiss Name .,Name would forget that these children kiss Name .,-53.2490719963472,-5.916563555149689,(ROOT (NP _Name) (VP (MD _would) (VP (VB _forget) (SBAR (COMP _that) (NP (DT _these) (NNS _children)) (VP (VB _kiss) (NP _Name))))) (. _.)),good,wh_vs_that_no_gap,400,syntax,filler_gap_dependency,sample2_PCFG.0.FG-output.rank-1,-5.916563555149689,-6.159784217047283,TRUE
Name would forget who these children kiss Name .,Name would forget who these children kiss Name .,-55.43805795342555,-6.159784217047283,(ROOT (NP _Name) (VP (MD _would) (VP (VB _forget) (SBAR (WHNP _who) (S (NP (DT _these) (NNS _children)) (VP (VB _kiss) (NP _Name)) (. _.)))))),bad,wh_vs_that_no_gap,400,syntax,filler_gap_dependency,sample2_PCFG.0.FG-output.rank-1,-5.916563555149689,-6.159784217047283,TRUE
