Sentence,LenFacScore,Score,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
what might Name fire children ?,-33.952083333634256,-203.71250000180555,bad,left_branch_island_echo_question,107,syntax,island_effects,trigram1,-33.952083333634256,-33.952083333634256,FALSE
Name might fire what children ?,-33.952083333634256,-203.71250000180555,good,left_branch_island_echo_question,107,syntax,island_effects,trigram1,-33.952083333634256,-33.952083333634256,FALSE
what might Name fire children ?,-33.97199683269437,-203.83198099616624,bad,left_branch_island_echo_question,107,syntax,island_effects,trigram10,-33.97199683269437,-33.97199683269437,FALSE
Name might fire what children ?,-33.97199683269437,-203.83198099616624,good,left_branch_island_echo_question,107,syntax,island_effects,trigram10,-33.97199683269437,-33.97199683269437,FALSE
what might Name fire children ?,-33.92435935329293,-203.54615611975757,bad,left_branch_island_echo_question,107,syntax,island_effects,trigram2,-33.92435935329293,-33.92435935329293,FALSE
Name might fire what children ?,-33.92435935329293,-203.54615611975757,good,left_branch_island_echo_question,107,syntax,island_effects,trigram2,-33.92435935329293,-33.92435935329293,FALSE
what might Name fire children ?,-33.95975336873189,-203.75852021239132,bad,left_branch_island_echo_question,107,syntax,island_effects,trigram3,-33.95975336873189,-33.95975336873189,FALSE
Name might fire what children ?,-33.95975336873189,-203.75852021239132,good,left_branch_island_echo_question,107,syntax,island_effects,trigram3,-33.95975336873189,-33.95975336873189,FALSE
what might Name fire children ?,-34.00665641456846,-204.03993848741075,bad,left_branch_island_echo_question,107,syntax,island_effects,trigram4,-34.00665641456846,-34.00665641456846,FALSE
Name might fire what children ?,-34.00665641456846,-204.03993848741075,good,left_branch_island_echo_question,107,syntax,island_effects,trigram4,-34.00665641456846,-34.00665641456846,FALSE
what might Name fire children ?,-33.959753285071194,-203.75851971042715,bad,left_branch_island_echo_question,107,syntax,island_effects,trigram5,-33.959753285071194,-33.959753285071194,FALSE
Name might fire what children ?,-33.959753285071194,-203.75851971042715,good,left_branch_island_echo_question,107,syntax,island_effects,trigram5,-33.959753285071194,-33.959753285071194,FALSE
what might Name fire children ?,-33.89963765887426,-203.39782595324556,bad,left_branch_island_echo_question,107,syntax,island_effects,trigram6,-33.89963765887426,-33.89963765887426,FALSE
Name might fire what children ?,-33.89963765887426,-203.39782595324556,good,left_branch_island_echo_question,107,syntax,island_effects,trigram6,-33.89963765887426,-33.89963765887426,FALSE
