Sentence,LenFacScore,Score,predicted_sent,logprobs,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
Name will watch .,-3.545569658279419,-17.727848052978516,"what , n't .","[-3.038832426071167, -5.407015800476074, -7.836552143096924, -1.4451937675476074, -0.0002536452084314078]",good,drop_argument,113,syntax,argument_structure,sample1,-3.545569658279419,-3.777508497238159,TRUE
Name will go to .,-3.777508497238159,-22.665050506591797,"what , n't to school","[-3.038832426071167, -5.407015800476074, -4.420678615570068, -1.7528475522994995, -8.045296669006348, -0.0003779412363655865]",bad,drop_argument,113,syntax,argument_structure,sample1,-3.545569658279419,-3.777508497238159,TRUE
Name will watch .,-3.817049741744995,-19.085248947143555,"what , n't ?","[-3.5443806648254395, -5.422152519226074, -8.156519889831543, -1.9614243507385254, -0.0007717015105299652]",good,drop_argument,113,syntax,argument_structure,sample10,-3.817049741744995,-3.565674066543579,FALSE
Name will go to .,-3.565674066543579,-21.394044876098633,"what , n't in school","[-3.5443806648254395, -5.422152519226074, -4.063736438751221, -2.241443157196045, -6.121648788452148, -0.0006834316882304847]",bad,drop_argument,113,syntax,argument_structure,sample10,-3.817049741744995,-3.565674066543579,FALSE
Name will watch .,-3.595083713531494,-17.975418090820312,"what , n't ?","[-3.3328781127929688, -5.065304756164551, -7.4230265617370605, -2.1533069610595703, -0.0009015309624373913]",good,drop_argument,113,syntax,argument_structure,sample2,-3.595083713531494,-3.3063056468963623,FALSE
Name will go to .,-3.3063056468963623,-19.837833404541016,"what , n't to the","[-3.3328781127929688, -5.065304756164551, -4.527777194976807, -1.9288902282714844, -4.982288360595703, -0.0006943913758732378]",bad,drop_argument,113,syntax,argument_structure,sample2,-3.595083713531494,-3.3063056468963623,FALSE
Name will watch .,-3.574536800384521,-17.872684478759766,what . n't ?,"[-3.209115743637085, -5.0885419845581055, -7.35372257232666, -2.2208194732666016, -0.0004861365014221519]",good,drop_argument,113,syntax,argument_structure,sample3,-3.574536800384521,-3.4889819622039795,FALSE
Name will go to .,-3.4889819622039795,-20.93389129638672,what . n't . Name,"[-3.209115743637085, -5.0885419845581055, -4.45192813873291, -2.5006327629089355, -5.682836055755615, -0.0008357845945283771]",bad,drop_argument,113,syntax,argument_structure,sample3,-3.574536800384521,-3.4889819622039795,FALSE
Name will watch .,-3.938058853149414,-19.69029426574707,"what , n't you","[-3.3675284385681152, -4.819448471069336, -7.822778224945068, -3.679596424102783, -0.0009433348895981908]",good,drop_argument,113,syntax,argument_structure,sample4,-3.938058853149414,-3.793664932250977,FALSE
Name will go to .,-3.793664932250977,-22.76198959350586,"what , n't to school","[-3.3675284385681152, -4.819448471069336, -4.229206085205078, -2.4981002807617188, -7.846868515014648, -0.0008361419313587248]",bad,drop_argument,113,syntax,argument_structure,sample4,-3.938058853149414,-3.793664932250977,FALSE
