Sentence,LenFacScore,Score,predicted_sent,logprobs,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
some chair was broken by the dishes .,-5.60357666015625,-50.43218994140625,what what . . . Name END .,"[-5.93073844909668, -8.20870590209961, -8.682875633239746, -6.808956146240234, -6.866054534912109, -1.5683969259262085, -11.719182968139648, -0.6469864845275879, -0.00029380773776210845]",bad,animate_subject_passive,148,syntax,s-selection,sample1,-5.412137985229492,-5.60357666015625,TRUE
some chair was broken by the child .,-5.412137985229492,-48.70924377441406,what what . . . Name END .,"[-5.93073844909668, -8.20870590209961, -8.682875633239746, -6.808956146240234, -6.866054534912109, -1.5683969259262085, -9.900618553161621, -0.7425961494445801, -0.00029940891545265913]",good,animate_subject_passive,148,syntax,s-selection,sample1,-5.412137985229492,-5.60357666015625,TRUE
some chair was broken by the dishes .,-5.643566608428955,-50.79209899902344,what what . there . himself other .,"[-5.792550086975098, -8.342716217041016, -8.179021835327148, -6.623475074768066, -7.444633960723877, -2.4871902465820312, -11.7686128616333, -0.15352919697761536, -0.0003693613689392805]",bad,animate_subject_passive,148,syntax,s-selection,sample10,-5.502165794372559,-5.643566608428955,TRUE
some chair was broken by the child .,-5.502165794372559,-49.519493103027344,what what . there . himself other .,"[-5.792550086975098, -8.342716217041016, -8.179021835327148, -6.623475074768066, -7.444633960723877, -2.4871902465820312, -10.103649139404297, -0.545927107334137, -0.000327652640407905]",good,animate_subject_passive,148,syntax,s-selection,sample10,-5.502165794372559,-5.643566608428955,TRUE
some chair was broken by the dishes .,-5.984827995300293,-53.86345291137695,what what . in ? ? other ?,"[-5.757920265197754, -7.924585342407227, -9.641945838928223, -6.258401870727539, -6.756906509399414, -2.3692760467529297, -11.787153244018555, -3.3662233352661133, -0.0010415849974378943]",bad,animate_subject_passive,148,syntax,s-selection,sample2,-5.4878249168396,-5.984827995300293,TRUE
some chair was broken by the child .,-5.4878249168396,-49.39042282104492,what what . in ? ? other .,"[-5.757920265197754, -7.924585342407227, -9.641945838928223, -6.258401870727539, -6.756906509399414, -2.3692760467529297, -9.930924415588379, -0.7493712902069092, -0.0010942192748188972]",good,animate_subject_passive,148,syntax,s-selection,sample2,-5.4878249168396,-5.984827995300293,TRUE
some chair was broken by the dishes .,-5.820156097412109,-52.381404876708984,what what . . . Name bag .,"[-5.763181686401367, -8.252272605895996, -7.523864269256592, -6.397730827331543, -9.788277626037598, -3.0502238273620605, -11.527220726013184, -0.07830514758825302, -0.000327652640407905]",bad,animate_subject_passive,148,syntax,s-selection,sample3,-5.775814056396484,-5.820156097412109,TRUE
some chair was broken by the child .,-5.775814056396484,-51.98232650756836,what what . . . Name bag .,"[-5.763181686401367, -8.252272605895996, -7.523864269256592, -6.397730827331543, -9.788277626037598, -3.0502238273620605, -11.048022270202637, -0.15824739634990692, -0.0005034133209846914]",good,animate_subject_passive,148,syntax,s-selection,sample3,-5.775814056396484,-5.820156097412109,TRUE
some chair was broken by the dishes .,-5.924359321594238,-53.31923294067383,what macaroni . that . . way .,"[-6.037365913391113, -8.392876625061035, -7.683374881744385, -5.421731948852539, -9.925530433654785, -2.5500025749206543, -13.213956832885742, -0.09396103769540787, -0.00043525759247131646]",bad,animate_subject_passive,148,syntax,s-selection,sample4,-5.625516891479492,-5.924359321594238,TRUE
some chair was broken by the child .,-5.625516891479492,-50.62965393066406,what macaroni . that . . way .,"[-6.037365913391113, -8.392876625061035, -7.683374881744385, -5.421731948852539, -9.925530433654785, -2.5500025749206543, -10.599403381347656, -0.018841110169887543, -0.0005289109540171921]",good,animate_subject_passive,148,syntax,s-selection,sample4,-5.625516891479492,-5.924359321594238,TRUE
