Sentence,WUGgedSentence,Score,LenFacScore,CleanedParse,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
whose hat should Name wear ?,whose hat should Name wear ?,-32.07655632252104,-5.346092720420174,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (. _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample1_PCFG.0.FG-output.rank-1,-5.346092720420174,-5.955952530973625,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-35.73571518584175,-5.955952530973625,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NP _hat))) (. _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample1_PCFG.0.FG-output.rank-1,-5.346092720420174,-5.955952530973625,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-34.27374023718809,-5.712290039531349,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear) (. _?))),good,left_branch_island_simple_question,1,syntax,island_effects,sample10_PCFG.0.FG-output.rank-1,-5.712290039531349,-6.182188721886437,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-37.09313233131862,-6.182188721886437,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NP _hat)) (. _?))),bad,left_branch_island_simple_question,1,syntax,island_effects,sample10_PCFG.0.FG-output.rank-1,-5.712290039531349,-6.182188721886437,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-32.27895476568966,-5.379825794281611,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (. _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample2_PCFG.0.FG-output.rank-1,-5.379825794281611,-6.0530508766819056,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-36.318305260091435,-6.0530508766819056,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NP _hat))) (. _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample2_PCFG.0.FG-output.rank-1,-5.379825794281611,-6.0530508766819056,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-33.492917643595334,-5.582152940599222,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (. _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample3_PCFG.0.FG-output.rank-1,-5.582152940599222,-6.261961130515124,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-37.571766783090744,-6.261961130515124,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NP _hat))) (. _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample3_PCFG.0.FG-output.rank-1,-5.582152940599222,-6.261961130515124,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-32.35041072178649,-5.391735120297748,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (. _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample4_PCFG.0.FG-output.rank-1,-5.391735120297748,-6.055020144015843,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-36.33012086409506,-6.055020144015843,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NP _hat))) (. _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample4_PCFG.0.FG-output.rank-1,-5.391735120297748,-6.055020144015843,TRUE
