Sentence,LenFacScore,Score,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
the cars roll .,-18.39888950605215,-91.99444753026076,good,inchoative,146,syntax,argument_structure,bigram1,-18.39888950605215,-18.382622036860788,FALSE
the cars looked like .,-18.382622036860788,-110.29573222116473,bad,inchoative,146,syntax,argument_structure,bigram1,-18.39888950605215,-18.382622036860788,FALSE
the cars roll .,-18.61340720316384,-93.0670360158192,good,inchoative,146,syntax,argument_structure,bigram10,-18.61340720316384,-18.74017215136647,TRUE
the cars looked like .,-18.74017215136647,-112.4410329081988,bad,inchoative,146,syntax,argument_structure,bigram10,-18.61340720316384,-18.74017215136647,TRUE
the cars roll .,-18.449608046917927,-92.24804023458964,good,inchoative,146,syntax,argument_structure,bigram2,-18.449608046917927,-18.422056431290446,FALSE
the cars looked like .,-18.422056431290446,-110.53233858774267,bad,inchoative,146,syntax,argument_structure,bigram2,-18.449608046917927,-18.422056431290446,FALSE
the cars roll .,-18.550322331806065,-92.75161165903033,good,inchoative,146,syntax,argument_structure,bigram3,-18.550322331806065,-18.78376144416848,TRUE
the cars looked like .,-18.78376144416848,-112.70256866501086,bad,inchoative,146,syntax,argument_structure,bigram3,-18.550322331806065,-18.78376144416848,TRUE
the cars roll .,-18.411034415488214,-92.05517207744107,good,inchoative,146,syntax,argument_structure,bigram4,-18.411034415488214,-18.44761020478693,TRUE
the cars looked like .,-18.44761020478693,-110.68566122872157,bad,inchoative,146,syntax,argument_structure,bigram4,-18.411034415488214,-18.44761020478693,TRUE
the cars roll .,-18.451113001737856,-92.25556500868927,good,inchoative,146,syntax,argument_structure,bigram5,-18.451113001737856,-18.60354781669023,TRUE
the cars looked like .,-18.60354781669023,-111.62128690014138,bad,inchoative,146,syntax,argument_structure,bigram5,-18.451113001737856,-18.60354781669023,TRUE
the cars roll .,-18.337953335837486,-91.68976667918743,good,inchoative,146,syntax,argument_structure,bigram6,-18.337953335837486,-18.34008869454843,TRUE
the cars looked like .,-18.34008869454843,-110.04053216729059,bad,inchoative,146,syntax,argument_structure,bigram6,-18.337953335837486,-18.34008869454843,TRUE
